,place,title,search,url
0,종로구 청운효자동,더숲 초소책방,종로구 청운효자동 더숲 초소책방,https://pcmap.place.naver.com/restaurant/1602048207/review/visitor#
1,종로구 청운효자동,효자베이커리,종로구 청운효자동 효자베이커리,https://pcmap.place.naver.com/restaurant/17898357/review/visitor#
2,종로구 청운효자동,스쿠퍼젤라또,종로구 청운효자동 스쿠퍼젤라또,https://pcmap.place.naver.com/restaurant/1553059011/review/visitor#
3,종로구 청운효자동,에디션덴마크쇼룸,종로구 청운효자동 에디션덴마크쇼룸,https://pcmap.place.naver.com/restaurant/1787227960/review/visitor#
4,종로구 청운효자동,아키비스트,종로구 청운효자동 아키비스트,https://pcmap.place.naver.com/restaurant/1783153281/review/visitor#
5,종로구 청운효자동,서촌스코프,종로구 청운효자동 서촌스코프,https://pcmap.place.naver.com/restaurant/462568628/review/visitor#
6,종로구 청운효자동,통인스윗,종로구 청운효자동 통인스윗,
7,종로구 청운효자동,카페이마,종로구 청운효자동 카페이마,https://pcmap.place.naver.com/restaurant/11678597/review/visitor#
8,종로구 청운효자동,인왕산 대충유원지,종로구 청운효자동 인왕산 대충유원지,https://pcmap.place.naver.com/restaurant/1077382386/review/visitor#
9,종로구 청운효자동,베어카페,종로구 청운효자동 베어카페,
10,종로구 청운효자동,진저그래스맨,종로구 청운효자동 진저그래스맨,https://pcmap.place.naver.com/restaurant/34994338/review/visitor#
11,종로구 청운효자동,타이드워터,종로구 청운효자동 타이드워터,https://pcmap.place.naver.com/restaurant/1280912590/review/visitor#
12,종로구 청운효자동,카페 시노라,종로구 청운효자동 카페 시노라,https://pcmap.place.naver.com/restaurant/1591185456/review/visitor#
13,종로구 청운효자동,카페별뜨락,종로구 청운효자동 카페별뜨락,https://pcmap.place.naver.com/restaurant/1029598666/review/visitor#
14,종로구 청운효자동,모드니에,종로구 청운효자동 모드니에,https://pcmap.place.naver.com/restaurant/1876846297/review/visitor#
15,종로구 청운효자동,통인동커피공방 위켄드,종로구 청운효자동 통인동커피공방 위켄드,https://pcmap.place.naver.com/restaurant/1871882769/review/visitor#
16,종로구 청운효자동,뮬랭 듀 몽드,종로구 청운효자동 뮬랭 듀 몽드,https://pcmap.place.naver.com/restaurant/1020888870/review/visitor#
17,종로구 청운효자동,피오르,종로구 청운효자동 피오르,https://pcmap.place.naver.com/restaurant/1529444324/review/visitor#
18,종로구 청운효자동,튀튀쿠키,종로구 청운효자동 튀튀쿠키,https://pcmap.place.naver.com/restaurant/1139473093/review/visitor#
19,종로구 청운효자동,후후라운지,종로구 청운효자동 후후라운지,https://pcmap.place.naver.com/restaurant/36384069/review/visitor#
20,종로구 청운효자동,ohooCafe,종로구 청운효자동 ohooCafe,https://pcmap.place.naver.com/restaurant/38275995/review/visitor#
