location_no,location,place1_no,place1,place2_no,place2,place
11,서울특별시,11010,종로구,11010720,청운효자동,종로구 청운효자동
11,서울특별시,11010,종로구,11010530,사직동,종로구 사직동
11,서울특별시,11010,종로구,11010540,삼청동,종로구 삼청동
11,서울특별시,11010,종로구,11010550,부암동,종로구 부암동
11,서울특별시,11010,종로구,11010560,평창동,종로구 평창동
11,서울특별시,11010,종로구,11010570,무악동,종로구 무악동
11,서울특별시,11010,종로구,11010580,교남동,종로구 교남동
11,서울특별시,11010,종로구,11010600,가회동,종로구 가회동
11,서울특별시,11010,종로구,11010610,종로1.2.3.4가동,종로구 종로1.2.3.4가동
11,서울특별시,11010,종로구,11010630,종로5.6가동,종로구 종로5.6가동
11,서울특별시,11010,종로구,11010640,이화동,종로구 이화동
11,서울특별시,11010,종로구,11010730,혜화동,종로구 혜화동
11,서울특별시,11010,종로구,11010670,창신1동,종로구 창신1동
11,서울특별시,11010,종로구,11010680,창신2동,종로구 창신2동
11,서울특별시,11010,종로구,11010690,창신3동,종로구 창신3동
11,서울특별시,11010,종로구,11010700,숭인1동,종로구 숭인1동
11,서울특별시,11010,종로구,11010710,숭인2동,종로구 숭인2동
11,서울특별시,11020,중구,11020520,소공동,중구 소공동
11,서울특별시,11020,중구,11020540,회현동,중구 회현동
11,서울특별시,11020,중구,11020550,명동,중구 명동
11,서울특별시,11020,중구,11020570,필동,중구 필동
11,서울특별시,11020,중구,11020580,장충동,중구 장충동
11,서울특별시,11020,중구,11020590,광희동,중구 광희동
11,서울특별시,11020,중구,11020600,을지로동,중구 을지로동
11,서울특별시,11020,중구,11020690,신당동,중구 신당동
11,서울특별시,11020,중구,11020700,다산동,중구 다산동
11,서울특별시,11020,중구,11020710,약수동,중구 약수동
11,서울특별시,11020,중구,11020720,청구동,중구 청구동
11,서울특별시,11020,중구,11020650,신당5동,중구 신당5동
11,서울특별시,11020,중구,11020730,동화동,중구 동화동
11,서울특별시,11020,중구,11020670,황학동,중구 황학동
11,서울특별시,11020,중구,11020680,중림동,중구 중림동
11,서울특별시,11030,용산구,11030510,후암동,용산구 후암동
11,서울특별시,11030,용산구,11030520,용산2가동,용산구 용산2가동
11,서울특별시,11030,용산구,11030530,남영동,용산구 남영동
11,서울특별시,11030,용산구,11030710,청파동,용산구 청파동
11,서울특별시,11030,용산구,11030720,원효로1동,용산구 원효로1동
11,서울특별시,11030,용산구,11030570,원효로2동,용산구 원효로2동
11,서울특별시,11030,용산구,11030580,효창동,용산구 효창동
11,서울특별시,11030,용산구,11030590,용문동,용산구 용문동
11,서울특별시,11030,용산구,11030730,한강로동,용산구 한강로동
11,서울특별시,11030,용산구,11030630,이촌1동,용산구 이촌1동
11,서울특별시,11030,용산구,11030640,이촌2동,용산구 이촌2동
11,서울특별시,11030,용산구,11030650,이태원1동,용산구 이태원1동
11,서울특별시,11030,용산구,11030660,이태원2동,용산구 이태원2동
11,서울특별시,11030,용산구,11030740,한남동,용산구 한남동
11,서울특별시,11030,용산구,11030690,서빙고동,용산구 서빙고동
11,서울특별시,11030,용산구,11030700,보광동,용산구 보광동
11,서울특별시,11040,성동구,11040520,왕십리2동,성동구 왕십리2동
11,서울특별시,11040,성동구,11040710,왕십리도선동,성동구 왕십리도선동
11,서울특별시,11040,성동구,11040540,마장동,성동구 마장동
11,서울특별시,11040,성동구,11040550,사근동,성동구 사근동
11,서울특별시,11040,성동구,11040560,행당1동,성동구 행당1동
11,서울특별시,11040,성동구,11040570,행당2동,성동구 행당2동
11,서울특별시,11040,성동구,11040580,응봉동,성동구 응봉동
11,서울특별시,11040,성동구,11040590,금호1가동,성동구 금호1가동
11,서울특별시,11040,성동구,11040720,금호2.3가동,성동구 금호2.3가동
11,서울특별시,11040,성동구,11040620,금호4가동,성동구 금호4가동
11,서울특별시,11040,성동구,11040730,옥수동,성동구 옥수동
11,서울특별시,11040,성동구,11040650,성수1가1동,성동구 성수1가1동
11,서울특별시,11040,성동구,11040660,성수1가2동,성동구 성수1가2동
11,서울특별시,11040,성동구,11040670,성수2가1동,성동구 성수2가1동
11,서울특별시,11040,성동구,11040680,성수2가3동,성동구 성수2가3동
11,서울특별시,11040,성동구,11040690,송정동,성동구 송정동
11,서울특별시,11040,성동구,11040700,용답동,성동구 용답동
11,서울특별시,11050,광진구,11050530,화양동,광진구 화양동
11,서울특별시,11050,광진구,11050540,군자동,광진구 군자동
11,서울특별시,11050,광진구,11050550,중곡1동,광진구 중곡1동
11,서울특별시,11050,광진구,11050560,중곡2동,광진구 중곡2동
11,서울특별시,11050,광진구,11050570,중곡3동,광진구 중곡3동
11,서울특별시,11050,광진구,11050580,중곡4동,광진구 중곡4동
11,서울특별시,11050,광진구,11050590,능동,광진구 능동
11,서울특별시,11050,광진구,11050630,광장동,광진구 광장동
11,서울특별시,11050,광진구,11050640,자양1동,광진구 자양1동
11,서울특별시,11050,광진구,11050650,자양2동,광진구 자양2동
11,서울특별시,11050,광진구,11050660,자양3동,광진구 자양3동
11,서울특별시,11050,광진구,11050670,자양4동,광진구 자양4동
11,서울특별시,11050,광진구,11050600,구의1동,광진구 구의1동
11,서울특별시,11050,광진구,11050610,구의2동,광진구 구의2동
11,서울특별시,11050,광진구,11050620,구의3동,광진구 구의3동
11,서울특별시,11060,동대문구,11060810,용신동,동대문구 용신동
11,서울특별시,11060,동대문구,11060820,제기동,동대문구 제기동
11,서울특별시,11060,동대문구,11060830,전농1동,동대문구 전농1동
11,서울특별시,11060,동대문구,11060840,전농2동,동대문구 전농2동
11,서울특별시,11060,동대문구,11060910,답십리1동,동대문구 답십리1동
11,서울특별시,11060,동대문구,11060860,답십리2동,동대문구 답십리2동
11,서울특별시,11060,동대문구,11060870,장안1동,동대문구 장안1동
11,서울특별시,11060,동대문구,11060880,장안2동,동대문구 장안2동
11,서울특별시,11060,동대문구,11060800,청량리동,동대문구 청량리동
11,서울특별시,11060,동대문구,11060710,회기동,동대문구 회기동
11,서울특별시,11060,동대문구,11060720,휘경1동,동대문구 휘경1동
11,서울특별시,11060,동대문구,11060730,휘경2동,동대문구 휘경2동
11,서울특별시,11060,동대문구,11060890,이문1동,동대문구 이문1동
11,서울특별시,11060,동대문구,11060900,이문2동,동대문구 이문2동
11,서울특별시,11070,중랑구,11070520,면목2동,중랑구 면목2동
11,서울특별시,11070,중랑구,11070540,면목4동,중랑구 면목4동
11,서울특별시,11070,중랑구,11070550,면목5동,중랑구 면목5동
11,서울특별시,11070,중랑구,11070710,면목본동,중랑구 면목본동
11,서울특별시,11070,중랑구,11070570,면목7동,중랑구 면목7동
11,서울특별시,11070,중랑구,11070720,면목3.8동,중랑구 면목3.8동
11,서울특별시,11070,중랑구,11070590,상봉1동,중랑구 상봉1동
11,서울특별시,11070,중랑구,11070600,상봉2동,중랑구 상봉2동
11,서울특별시,11070,중랑구,11070610,중화1동,중랑구 중화1동
11,서울특별시,11070,중랑구,11070620,중화2동,중랑구 중화2동
11,서울특별시,11070,중랑구,11070640,묵1동,중랑구 묵1동
11,서울특별시,11070,중랑구,11070650,묵2동,중랑구 묵2동
11,서울특별시,11070,중랑구,11070730,망우본동,중랑구 망우본동
11,서울특별시,11070,중랑구,11070680,망우3동,중랑구 망우3동
11,서울특별시,11070,중랑구,11070690,신내1동,중랑구 신내1동
11,서울특별시,11070,중랑구,11070700,신내2동,중랑구 신내2동
11,서울특별시,11080,성북구,11080810,성북동,성북구 성북동
11,서울특별시,11080,성북구,11080820,삼선동,성북구 삼선동
11,서울특별시,11080,성북구,11080830,동선동,성북구 동선동
11,서울특별시,11080,성북구,11080580,돈암1동,성북구 돈암1동
11,서울특별시,11080,성북구,11080590,돈암2동,성북구 돈암2동
11,서울특별시,11080,성북구,11080600,안암동,성북구 안암동
11,서울특별시,11080,성북구,11080610,보문동,성북구 보문동
11,서울특별시,11080,성북구,11080620,정릉1동,성북구 정릉1동
11,서울특별시,11080,성북구,11080630,정릉2동,성북구 정릉2동
11,서울특별시,11080,성북구,11080640,정릉3동,성북구 정릉3동
11,서울특별시,11080,성북구,11080650,정릉4동,성북구 정릉4동
11,서울특별시,11080,성북구,11080660,길음1동,성북구 길음1동
11,서울특별시,11080,성북구,11080680,길음2동,성북구 길음2동
11,서울특별시,11080,성북구,11080840,종암동,성북구 종암동
11,서울특별시,11080,성북구,11080710,월곡1동,성북구 월곡1동
11,서울특별시,11080,성북구,11080720,월곡2동,성북구 월곡2동
11,서울특별시,11080,성북구,11080760,장위1동,성북구 장위1동
11,서울특별시,11080,성북구,11080770,장위2동,성북구 장위2동
11,서울특별시,11080,성북구,11080780,장위3동,성북구 장위3동
11,서울특별시,11080,성북구,11080850,석관동,성북구 석관동
11,서울특별시,11090,강북구,11090690,삼양동,강북구 삼양동
11,서울특별시,11090,강북구,11090700,미아동,강북구 미아동
11,서울특별시,11090,강북구,11090710,송중동,강북구 송중동
11,서울특별시,11090,강북구,11090720,송천동,강북구 송천동
11,서울특별시,11090,강북구,11090730,삼각산동,강북구 삼각산동
11,서울특별시,11090,강북구,11090600,번1동,강북구 번1동
11,서울특별시,11090,강북구,11090610,번2동,강북구 번2동
11,서울특별시,11090,강북구,11090620,번3동,강북구 번3동
11,서울특별시,11090,강북구,11090630,수유1동,강북구 수유1동
11,서울특별시,11090,강북구,11090640,수유2동,강북구 수유2동
11,서울특별시,11090,강북구,11090650,수유3동,강북구 수유3동
11,서울특별시,11090,강북구,11090740,우이동,강북구 우이동
11,서울특별시,11090,강북구,11090750,인수동,강북구 인수동
11,서울특별시,11100,도봉구,11100590,창1동,도봉구 창1동
11,서울특별시,11100,도봉구,11100600,창2동,도봉구 창2동
11,서울특별시,11100,도봉구,11100610,창3동,도봉구 창3동
11,서울특별시,11100,도봉구,11100620,창4동,도봉구 창4동
11,서울특별시,11100,도봉구,11100630,창5동,도봉구 창5동
11,서울특별시,11100,도봉구,11100640,도봉1동,도봉구 도봉1동
11,서울특별시,11100,도봉구,11100650,도봉2동,도봉구 도봉2동
11,서울특별시,11100,도봉구,11100510,쌍문1동,도봉구 쌍문1동
11,서울특별시,11100,도봉구,11100520,쌍문2동,도봉구 쌍문2동
11,서울특별시,11100,도봉구,11100530,쌍문3동,도봉구 쌍문3동
11,서울특별시,11100,도봉구,11100540,쌍문4동,도봉구 쌍문4동
11,서울특별시,11100,도봉구,11100550,방학1동,도봉구 방학1동
11,서울특별시,11100,도봉구,11100560,방학2동,도봉구 방학2동
11,서울특별시,11100,도봉구,11100570,방학3동,도봉구 방학3동
11,서울특별시,11110,노원구,11110510,월계1동,노원구 월계1동
11,서울특별시,11110,노원구,11110520,월계2동,노원구 월계2동
11,서울특별시,11110,노원구,11110530,월계3동,노원구 월계3동
11,서울특별시,11110,노원구,11110790,공릉1동,노원구 공릉1동
11,서울특별시,11110,노원구,11110560,공릉2동,노원구 공릉2동
11,서울특별시,11110,노원구,11110580,하계1동,노원구 하계1동
11,서울특별시,11110,노원구,11110590,하계2동,노원구 하계2동
11,서울특별시,11110,노원구,11110600,중계본동,노원구 중계본동
11,서울특별시,11110,노원구,11110610,중계1동,노원구 중계1동
11,서울특별시,11110,노원구,11110640,중계4동,노원구 중계4동
11,서울특별시,11110,노원구,11110780,중계2.3동,노원구 중계2.3동
11,서울특별시,11110,노원구,11110650,상계1동,노원구 상계1동
11,서울특별시,11110,노원구,11110660,상계2동,노원구 상계2동
11,서울특별시,11110,노원구,11110760,상계3.4동,노원구 상계3.4동
11,서울특별시,11110,노원구,11110690,상계5동,노원구 상계5동
11,서울특별시,11110,노원구,11110770,상계6.7동,노원구 상계6.7동
11,서울특별시,11110,노원구,11110720,상계8동,노원구 상계8동
11,서울특별시,11110,노원구,11110730,상계9동,노원구 상계9동
11,서울특별시,11110,노원구,11110740,상계10동,노원구 상계10동
11,서울특별시,11120,은평구,11120510,녹번동,은평구 녹번동
11,서울특별시,11120,은평구,11120520,불광1동,은평구 불광1동
11,서울특별시,11120,은평구,11120720,불광2동,은평구 불광2동
11,서울특별시,11120,은평구,11120550,갈현1동,은평구 갈현1동
11,서울특별시,11120,은평구,11120560,갈현2동,은평구 갈현2동
11,서울특별시,11120,은평구,11120570,구산동,은평구 구산동
11,서울특별시,11120,은평구,11120580,대조동,은평구 대조동
11,서울특별시,11120,은평구,11120590,응암1동,은평구 응암1동
