,cafe,review,친절해요,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,매장이 청결해요,음료가 맛있어요,대화하기 좋아요,사진이 잘 나와요,뷰가 좋아요,가성비가 좋아요,집중하기 좋아요
1,더숲 초소책방,사장님이 정말 친절하세요 감동 수준 바람이 심하게 날리는 편입니다 파라솔이 무너지는 경우가 종종있는 것 같으니 주의하세요 빵 기대 별로 안했는데 너무 맛있어서 당황했구요 풍경 그동안 서울에서 뷰 제일 좋은 카페라고 생각한 곳은 따로있었는데 여기로 제 맘속의 순위가 바뀌어야할 것 같네요,1,0,0,1,0,0,0,0,1,0,0
2,더숲 초소책방,예전 초소를 멋지게 바꾸어 카페를 만든 곳이예요 워낙 유명한 곳이라 평일에도 차들과 사람이 넘쳐나는 곳입니다 저는 토요일 아침 오픈 시간에 왔는데도 벌써 주차된 차들이 대 있었어요 커피는 진한 맛으로 빵과 함께 먹어야 더 맛이 좋은 것 같아요,0,1,0,1,0,0,0,0,1,0,0
3,더숲 초소책방,방송을 타서 그런지 정말 사람이 많았아요 왠만하면 오후 늦게 가시길 추천 빵 맛집입니다 뷰도 나름 괜찮고 선선하니 좋은데 사람이 많아 다음엔 늦게 가야겠어요,0,0,0,1,0,0,0,0,0,0,0
4,더숲 초소책방,뷰가 좋아 조용히 오전중으로 책 읽고 오려다가 사람이 너무 많아 구석진 바위에 앉아 땀 식히고 갑니다 배고파서 허겁지겁 빵 맛있게 먹었어요,0,0,0,1,0,0,0,0,1,0,0
5,더숲 초소책방,집 근처라서 자주 가는 곳 이긴한데 갈때마다 이쁘네요 주말엔 사람도 많고 북적이긴한데 아이들이랑 같이 처음 갔는데 좋아하더라고요 저흰 걸어갔지만 주차문제 때문에 좀 그렇긴한데 집 근처에 있어서 좋긴하네요 뷰맛집 뷰이쁨 걷기좋음 인왕산초소카페,0,0,0,0,0,0,0,0,1,0,0
6,더숲 초소책방,뷰맛집 방송 타고 사람이 더 많아져서 아쉽지만 날씨 좋을 시기에 와보고 싶어서 이른 시간에 방문 주말이고 손님 많을때 왠 바 자회 인가 해서 주차장 공간이 없어지는 바람에 인근에 불법 주차 차량이 너무 많아 좀 불쾌했습니다,0,0,0,0,0,0,0,0,1,0,0
7,더숲 초소책방,인왕산 숲길이나 자락길 산책하면서 꼭 가보세요 서울뷰 이렇게 예쁘게 잘 보이는 곳이 있나싶어요 주차자리는 좁으니까 대중교통 이 용해서 걸어가시는거 추천합니다 의외로 멀지 않고 갈만해요,0,0,0,0,0,0,0,0,1,0,0
8,더숲 초소책방,평일 아침 낮에 가면 사람이 적어서 뷰 즐기기 좋아요 빵 가격대가 높은 편이지만 맛있어요,0,0,0,1,0,0,0,0,1,0,0
9,에디션덴마크쇼룸,북유럽에서 유명한 커피컬렉티브 커피를 맛볼수 있다는 기대감에 설레이며 방문해서 일단 라떼 한잔 그리고 설명만으로 이미 넉다운된 초코타르트 우와 진짜 너무너무 맛있어서 거의 기절했어요 차근차근 종류별로 다 마셔보구 맛봐야겠어요,0,1,0,1,0,0,0,0,0,0,0
10,에디션덴마크쇼룸,너무 애정하는 꿀과 티를 수입하는 아름다운 곳,0,0,0,0,0,1,0,0,0,0,0
11,에디션덴마크쇼룸,화이트템플 그린자스민트 향 너무좋아요 선물하기도 좋고 내가 즐기기에도 좋아요,0,0,0,0,0,1,0,0,0,0,0
12,에디션덴마크쇼룸,제가 마셔본 티중에 젤로 맛있었어요 깨끗하고 달콤하며 향긋한 맛 직원분께서 추천해주신티가 너무 좋아 티까지 구매하게 되었답니다 친절한 직원분,1,0,0,0,0,1,0,0,0,0,0
13,에디션덴마크쇼룸,추천 받아서 방문해봤습니다 티랑 크래커랑 너무 맛있어요,0,0,0,1,0,1,0,0,0,0,0
14,에디션덴마크쇼룸,공간도 크고 넓고 친절하시고 좋아요 커피랑 디저트도 맛있어요,1,1,1,1,0,0,0,0,0,0,0
15,에디션덴마크쇼룸,맛있는 차와 커피 소박한 매장이지만 조용하고 선곡이 너무 좋아요 오픈형 천장 덕분에 시간따라 다른 분위기를 즐길 수 있었어요,0,1,1,0,0,1,0,0,0,0,0
16,에디션덴마크쇼룸,직원분들 다 친절하시고 커피도 맛있고 좋았어요,1,1,0,0,0,0,0,0,0,0,0
17,아키비스트,드디어 와본 아키비스트 대표 색상이 그린그륀 요즘 계절에 딱이네요 사람들 엄 청 붐비는 주말 그리고 최고절정의 시간에 방문했어요 맛있어요 익선동의 한 카페 맛이랑 똑같아서 맛있게 잘 마셨어요 그리고 제일 합리적인건 테이크아웃시 할인이에요 완전 최고 그리고 마지막으로 화장실 세정워시 향도 느므 쪼아요,0,1,0,0,1,0,0,0,0,1,0
18,아키비스트,아인슈페너 바닐라라떼 둘 다 맛있어요 개인적으로는 투고해서 근처 벤치 앉아 마시는게 더 운치 있고 좋았어요 투고하면 할인되는 줄 몰랐는데 할인은 덤 사장님도 친절해요,1,1,0,0,0,0,0,0,0,0,0
19,아키비스트,몇번 갔는지 카운트하기도 힘든 곳 차갑던 따뜻하던 마지막 모금까지 쫀쫀한 크림이 완벽한 아인슈페너는 이곳이 유일무이 베이커리 는 스콘이랑 레몬파운드가 최고 나머지는 평타이상,0,1,0,1,0,1,0,0,0,0,0
20,아키비스트,아인슈페너 진짜 맛은 있어요 웨이팅이 있었지만 그래도 테이크아웃하길 잘한것 같습니다 웨이팅 하는 시스템은 종이가 아니라 바 꿔야할것 같아요 테이크 아웃하면 할인도 적용도 해주고 날이 좋으면 매장이 아니더라도 괜찮을듯,0,1,0,0,0,0,0,0,0,0,0
21,아키비스트,아인슈페너 맛있었어요 아메리카노도 괜찮고 솔티드 카라멜 휘낭시에 먹었는데 그냥 휘낭시에도 먹어보고 싶어요,1,1,0,1,0,0,0,0,0,0,0
22,아키비스트,서울 대 아인슈페너 맛집이라고 해서 방문 해봤는데 진짜 맛있어요 매장 근처도 조용해서 테이크 아웃해서 먹기도 좋고 가게 자체 분위기도 좋아요,0,1,1,0,0,0,0,0,0,0,0
23,아키비스트,비주얼만으로도 특유의 쫀쫀한 크림이 느껴졌던 아인슈페너는 묵직하게 듬뿍 올라가 있는 크림이 엄청 꾸덕하고 진해 커피와 함께 먹지않고 크림만 먹는다면 목이 메이는 것처럼 느껴질 정도였어요 개인적으론 커피에 크림이 살짝 녹으며 어우러지는걸 좋아해 커피 자체가 부드럽고 고소한 맛이 많이 느껴져 진하게 마실 수 있었던 플랫 화이트가 더 맛있었던 것 같습니다,0,1,0,0,0,0,0,0,0,0,0
24,아키비스트,카페 이용 대기줄이 엄청 길어요 본인 기준 시간 분 대기 안내받았음 테이크아웃 해서 근처 바위에 앉아서 먹었습니다 주문 하고 분 분 기다린 것 같아요 아인슈페너 진짜 너무너무 맛있었어요 스콘은 평범했습니다 다음에도 근처 가게되면 재방문 할 것 같아요 개인적인 생각으로는 기다려서 먹을 가치가 있다고 생각합니다,0,1,0,0,0,0,0,0,0,0,0
25,서촌스코프,뭘 먹어야할지 몰라 베스트셀러로 골랐는데 진짜 너무 맛있네요 다 먹어보고 싶은데 사이즈가 커서 부라우니는 진해서 커피와 먹기 너무 맛있구영 오렌지 케이크는 달지 않고 맛있어요 스콘은 진짜 고소하고 진짜 맛있어용 자주 가야겠어요 한시간 걸리는 거리이지만 또 가야겟어요,0,1,0,1,0,0,0,0,0,0,0
26,서촌스코프,스코프 짱짱 헤이즐넛초코 스콘이랑 브라우니 샀는데 가격대비 퀄리티랑 크기가 아주 만족이예요 스콘은 사실 기대를 너무 많이 했는지 생각보다 그저 그랬는데 브라우니가 대박 완전 꾸덕꾸덕하고 반만 먹어도 당충전 빠박입니닷,0,0,0,1,0,0,0,0,0,0,0
27,서촌스코프,날씨 좋은날 라즈베리 아몬드 타르트 상큼한 라즈베리 아몬드 버터향의 조화 이거 맛있네요 밑에 타르트 쿠키의 바삭한 식감이 좋 아요 차갑게 드시는걸 추천해요,0,0,0,1,0,0,0,0,0,0,0
28,서촌스코프,버터가 많이 들어갔는지 조금 느끼한 감이 있는데 퍼석한 스콘 말고 이런 느낌의 스콘 좋아하시는 분들은 잘 맞을듯 해요 저는 물론 너무 좋아합니당,0,0,0,1,0,0,0,0,0,0,0
29,서촌스코프,수요미식회 버터스콘 구매하러 방문 촉촉하고 무겁지 않은 그리고 크기 정말 스콘계의 혁명임 혈당 올라가는 케이크류 나 버터바 등도 같이 있어 고르기 매우 힘이 듦 층은 제품 판매 및 제조 층에 취식 가능 사진처럼 제품이 그냥 쌓여있어 위생이 걱 정되긴 함 잘 보면 한쪽에 반값 할인하는 제품도 있으니 참고하세요,0,0,0,1,0,0,0,0,0,0,0
